date,Hauptzahlen,Eurozahlen
2012-03-23,05 08 21 37 46,06 08
2012-03-30,05 07 12 19 26,01 05
2012-04-06,07 08 34 36 38,04 05
2012-04-13,05 11 12 27 32,01 03
2012-04-20,10 16 30 41 45,02 08
2012-04-27,10 13 19 40 45,03 05
2012-05-04,29 30 35 41 45,03 05
2012-05-11,15 21 38 39 47,01 05
2012-05-18,12 18 43 44 46,04 05
2012-05-25,04 11 26 32 41,05 07
2012-06-01,11 28 34 37 38,03 07
2012-06-08,10 15 16 36 44,07 08
2012-06-15,06 10 17 18 42,01 03
2012-06-22,13 14 16 47 49,01 07
2012-06-29,05 08 19 33 36,02 03
2012-07-06,10 22 24 33 38,02 06
2012-07-13,08 12 27 31 37,03 06
2012-07-20,06 09 13 14 25,01 08
2012-07-27,09 22 23 34 35,01 03
2012-08-03,12 15 18 24 25,04 05
2012-08-10,06 11 40 46 48,03 06
2012-08-17,03 16 30 34 35,02 05
2012-08-24,09 20 21 33 49,05 07
2012-08-31,08 22 28 40 42,04 08
2012-09-07,15 23 25 46 49,02 04
2012-09-14,10 14 15 24 47,04 08
2012-09-21,18 29 41 44 49,01 05
2012-09-28,05 14 16 34 39,01 06
2012-10-05,26 28 40 49 50,02 07
2012-10-12,06 11 17 43 49,04 08
2012-10-19,06 14 18 19 48,03 08
2012-10-26,07 17 18 19 22,04 05
2012-11-02,03 05 07 12 31,05 07
2012-11-09,25 29 38 41 44,03 08
2012-11-16,01 04 07 21 26,04 07
2012-11-23,01 21 32 36 50,02 05
2012-11-30,02 13 21 24 37,06 07
2012-12-07,13 20 22 27 42,03 05
2012-12-14,17 28 31 35 39,05 08
2012-12-21,11 20 24 25 35,04 08
2012-12-28,05 08 22 32 39,07 08
2013-01-04,06 20 29 40 45,05 08
2013-01-11,06 31 37 41 49,02 03
2013-01-18,09 13 21 28 45,06 07
2013-01-25,04 13 28 37 38,07 08
2013-02-01,02 04 14 26 29,06 07
2013-02-08,12 14 17 27 43,01 07
2013-02-15,04 09 26 32 40,03 05
2013-02-22,03 13 41 46 49,03 08
2013-03-01,19 28 29 34 44,01 05
2013-03-08,10 12 14 30 43,02 05
2013-03-15,04 30 32 41 50,05 07
2013-03-22,05 12 21 43 48,05 06
2013-03-29,01 22 27 37 50,05 07
2013-04-05,22 31 37 38 41,02 06
2013-04-12,08 19 22 32 40,01 08
2013-04-19,17 18 22 24 25,01 06
2013-04-26,11 14 19 23 49,04 05
2013-05-03,14 16 28 44 48,03 07
2013-05-10,06 09 31 33 35,01 07
2013-05-17,04 06 10 13 32,01 08
2013-05-24,02 04 09 20 41,03 05
2013-05-31,05 09 12 23 40,02 07
2013-06-07,06 09 11 29 35,02 06
2013-06-14,01 25 46 47 48,03 08
2013-06-21,05 14 21 23 50,02 07
2013-06-28,06 08 23 33 49,03 08
2013-07-05,15 16 17 19 50,05 07
2013-07-12,07 27 33 47 48,02 07
2013-07-19,07 18 19 33 37,02 05
2013-07-26,04 13 19 25 43,03 04
2013-08-02,14 23 29 33 37,02 05
2013-08-09,07 26 32 34 49,01 06
2013-08-16,05 32 33 38 49,03 08
2013-08-23,04 10 25 30 47,02 03
2013-08-30,06 09 10 17 43,02 08
2013-09-06,03 07 20 32 44,04 05
2013-09-13,03 10 18 31 43,01 07
2013-09-20,02 06 15 18 24,05 07
2013-09-27,06 10 21 34 36,01 04
2013-10-04,01 07 16 21 48,01 08
2013-10-11,02 11 23 29 34,07 08
2013-10-18,07 22 24 25 41,01 03
2013-10-25,09 25 39 41 46,02 08
2013-11-01,07 10 13 26 27,05 08
2013-11-08,18 25 28 34 42,03 04
2013-11-15,03 19 32 43 48,04 08
2013-11-22,01 38 39 42 47,01 02
2013-11-29,17 25 32 35 45,04 07
2013-12-06,01 08 18 25 47,02 07
2013-12-13,09 19 24 28 49,02 08
2013-12-20,09 12 22 37 40,06 08
2013-12-27,02 15 33 40 43,03 07
2014-01-03,01 16 34 36 37,04 06
2014-01-10,08 18 22 33 40,02 08
2014-01-17,04 07 17 25 29,02 04
2014-01-24,04 28 30 36 46,03 07
2014-01-31,12 17 29 39 40,05 06
2014-02-07,16 18 20 36 49,03 04
2014-02-14,19 21 22 28 45,06 07
2014-02-21,02 04 21 30 41,07 08
2014-02-28,02 17 21 22 45,01 05
2014-03-07,07 14 15 20 39,01 08
2014-03-14,06 07 09 13 30,04 07
2014-03-21,08 18 35 38 42,04 06
2014-03-28,10 32 35 38 45,04 05
2014-04-04,10 16 28 30 33,04 06
2014-04-11,01 07 14 22 44,01 02
2014-04-18,12 32 40 44 49,02 03
2014-04-25,04 07 10 39 48,03 04
2014-05-02,09 31 32 33 34,06 08
2014-05-09,01 11 14 22 43,03 04
2014-05-16,09 28 36 42 43,02 08
2014-05-23,06 21 33 37 47,07 08
2014-05-30,07 17 25 26 35,04 07
2014-06-06,06 09 19 37 38,04 08
2014-06-13,01 08 15 18 39,01 06
2014-06-20,06 10 23 33 41,06 08
2014-06-27,11 33 35 42 44,04 06
2014-07-04,03 10 11 13 42,01 08
2014-07-11,03 10 16 35 45,04 06
2014-07-18,06 11 15 18 45,05 08
2014-07-25,03 10 36 43 47,02 05
2014-08-01,05 18 33 38 47,03 06
2014-08-08,15 19 21 34 40,03 04
2014-08-15,17 38 41 43 47,04 06
2014-08-22,19 20 40 42 47,02 08
2014-08-29,01 08 09 12 37,02 06
2014-09-05,26 31 33 39 40,05 06
2014-09-12,02 09 17 25 29,03 05
2014-09-19,13 18 20 38 39,01 08
2014-09-26,08 26 32 44 50,04 07
2014-10-03,08 15 34 44 49,04 08
2014-10-10,11 17 20 22 29,04 06
2014-10-17,14 24 27 35 39,07 08
2014-10-24,03 15 22 26 37,02 04
2014-10-31,03 07 27 43 46,03 08
2014-11-07,05 13 25 33 35,04 08
2014-11-14,22 25 41 45 49,02 05
2014-11-21,04 18 35 41 43,04 05
2014-11-28,06 16 18 29 35,06 09
2014-12-05,11 25 32 42 47,04 09
2014-12-12,01 08 15 19 37,07 09
2014-12-19,10 11 25 32 49,05 09
2014-12-26,02 21 30 39 43,05 07
2015-01-02,16 29 38 42 48,05 06
2015-01-09,13 19 20 27 41,05 09
2015-01-16,01 04 14 32 48,05 06
2015-01-23,02 13 14 30 32,01 03
2015-01-30,03 04 08 11 41,02 08
2015-02-06,03 19 22 37 39,05 10
2015-02-13,03 07 14 46 48,06 09
2015-02-20,01 16 18 29 44,02 07
2015-02-27,09 28 30 43 49,08 10
2015-03-06,09 16 17 20 32,02 03
2015-03-13,01 10 25 39 44,01 02
2015-03-20,09 11 13 35 38,05 07
2015-03-27,03 26 31 33 50,03 09
2015-04-03,05 34 37 43 48,02 04
2015-04-10,01 18 26 40 47,03 04
2015-04-17,05 06 13 20 33,03 08
2015-04-24,04 17 27 33 46,03 09
2015-05-01,08 24 25 30 50,04 06
2015-05-08,19 31 32 40 46,08 09
2015-05-15,12 14 18 38 46,09 10
2015-05-22,08 23 24 39 50,01 05
2015-05-29,01 06 16 28 38,01 06
2015-06-05,19 38 40 41 50,01 05
2015-06-12,17 23 27 30 39,06 08
2015-06-19,12 14 20 21 39,05 10
2015-06-26,14 27 28 35 47,01 08
2015-07-03,01 31 40 41 45,05 09
2015-07-10,12 35 36 39 47,03 06
2015-07-17,06 21 30 37 44,01 03
2015-07-24,06 12 15 20 30,03 06
2015-07-31,11 19 24 46 49,01 05
2015-08-07,01 09 15 22 49,04 07
2015-08-14,01 07 27 28 41,02 06
2015-08-21,13 20 39 40 42,03 09
2015-08-28,05 08 33 34 46,03 08
2015-09-04,12 23 37 41 46,03 07
2015-09-11,07 22 27 30 31,05 07
2015-09-18,03 07 13 41 48,01 07
2015-09-25,03 05 13 16 30,03 06
2015-10-02,07 09 28 39 47,02 08
2015-10-09,13 14 23 26 31,03 09
2015-10-16,11 19 38 42 46,03 09
2015-10-23,16 18 34 36 49,06 08
2015-10-30,05 15 16 36 37,03 05
2015-11-06,02 04 08 22 24,03 09
2015-11-13,19 23 26 27 49,03 10
2015-11-20,01 18 20 31 36,05 09
2015-11-27,02 07 13 26 49,03 04
2015-12-04,14 16 26 34 38,02 08
2015-12-11,34 36 37 39 49,08 10
2015-12-18,11 19 27 32 42,05 09
2015-12-25,08 09 33 34 36,03 09
2016-01-01,11 14 35 44 45,05 06
2016-01-08,01 02 05 24 47,03 08
2016-01-15,04 23 25 37 39,01 09
2016-01-22,03 19 26 29 36,04 09
2016-01-29,03 20 32 40 42,04 09
2016-02-05,10 25 35 37 43,05 08
2016-02-12,07 20 21 33 41,01 02
2016-02-19,10 12 28 29 49,03 04
2016-02-26,09 11 19 42 45,07 10
2016-03-04,02 05 10 13 28,03 10
2016-03-11,10 16 31 37 40,03 09
2016-03-18,10 20 35 47 50,04 07
2016-03-25,09 10 19 20 35,03 04
2016-04-01,06 12 21 40 49,08 10
2016-04-08,01 02 16 31 50,01 07
2016-04-15,01 05 17 39 46,06 07
2016-04-22,05 28 31 33 49,01 02
2016-04-29,10 14 20 24 40,02 10
2016-05-06,12 24 38 45 46,06 10
2016-05-13,06 07 36 39 40,01 10
2016-05-20,06 19 23 33 34,04 07
2016-05-27,04 10 26 33 48,05 09
2016-06-03,13 20 32 34 47,06 09
2016-06-10,11 12 26 28 37,08 10
2016-06-17,16 18 19 23 44,01 03
2016-06-24,19 21 24 41 48,01 06
2016-07-01,29 37 38 47 50,02 04
2016-07-08,04 19 21 31 42,05 10
2016-07-15,12 22 36 38 50,02 09
2016-07-22,06 14 20 26 46,02 04
2016-07-29,04 08 22 36 44,05 10
2016-08-05,05 11 12 30 40,02 05
2016-08-12,06 15 18 21 38,01 04
2016-08-19,22 33 42 43 46,06 10
2016-08-26,04 08 09 33 43,05 09
2016-09-02,15 28 30 42 50,01 08
2016-09-09,11 27 34 35 39,06 10
2016-09-16,15 28 30 37 43,02 05
2016-09-23,01 07 23 25 45,05 08
2016-09-30,04 28 29 39 44,08 10
2016-10-07,01 10 20 43 44,06 09
2016-10-14,07 10 25 39 42,03 06
2016-10-21,14 16 28 34 35,03 09
2016-10-28,01 04 06 12 13,01 06
2016-11-04,14 15 16 22 50,02 10
2016-11-11,01 16 18 42 47,06 08
2016-11-18,07 10 16 32 40,01 06
2016-11-25,19 28 34 45 49,01 06
2016-12-02,01 20 39 48 50,03 07
2016-12-09,12 17 29 44 50,02 10
2016-12-16,02 03 24 25 34,06 08
2016-12-23,13 27 30 42 46,03 04
2016-12-30,27 30 45 47 50,01 09
2017-01-06,07 14 23 27 35,03 05
2017-01-13,02 21 26 44 45,01 06
2017-01-20,05 23 25 35 40,05 08
2017-01-27,12 15 19 29 48,07 09
2017-02-03,04 05 17 39 47,03 04
2017-02-10,13 23 31 42 44,02 05
2017-02-17,07 18 19 40 49,05 06
2017-02-24,01 07 13 19 20,06 08
2017-03-03,03 07 16 18 25,02 10
2017-03-10,13 18 20 35 46,07 08
2017-03-17,03 16 25 38 45,07 08
2017-03-24,25 26 30 36 44,03 09
2017-03-31,08 14 34 40 44,01 07
2017-04-07,10 27 43 45 46,04 08
2017-04-14,06 22 33 46 49,01 05
2017-04-21,27 31 44 46 49,06 08
2017-04-28,03 38 39 41 45,03 05
2017-05-05,08 11 23 41 42,06 08
2017-05-12,07 14 31 35 46,01 02
2017-05-19,22 33 41 46 50,02 06
2017-05-26,03 11 13 15 23,01 09
2017-06-02,02 04 17 20 46,01 08
2017-06-09,13 17 20 24 47,05 08
2017-06-16,01 24 25 31 38,01 07
2017-06-23,06 14 19 27 35,02 04
2017-06-30,01 03 11 18 31,03 06
2017-07-07,15 16 17 23 30,06 09
2017-07-14,03 09 25 31 49,08 09
2017-07-21,27 35 36 38 48,02 03
2017-07-28,14 18 26 40 45,01 05
2017-08-04,18 39 44 46 47,04 06
2017-08-11,13 14 21 23 40,01 03
2017-08-18,01 04 20 32 34,03 06
2017-08-25,11 20 28 41 45,05 09
2017-09-01,03 04 09 19 28,01 07
2017-09-08,11 38 40 42 48,04 05
2017-09-15,15 22 29 33 47,03 07
2017-09-22,10 17 32 36 47,02 05
2017-09-29,02 12 15 29 44,07 10
2017-10-06,05 17 28 40 44,01 08
2017-10-13,09 40 43 44 46,01 08
2017-10-20,01 10 25 46 49,01 06
2017-10-27,02 20 23 29 50,04 05
2017-11-03,02 35 44 45 50,06 07
2017-11-10,01 14 17 24 50,08 09
2017-11-17,03 04 17 41 47,02 05
2017-11-24,11 16 18 22 43,07 08
2017-12-01,05 16 20 29 30,02 07
2017-12-08,09 15 20 24 34,01 05
2017-12-15,01 07 12 16 18,01 04
2017-12-22,16 26 32 40 47,01 06
2017-12-29,16 30 33 40 43,02 04
2018-01-05,02 07 38 40 45,07 10
2018-01-12,16 17 25 40 44,02 09
2018-01-19,03 09 17 45 47,04 09
2018-01-26,10 23 26 29 35,03 05
2018-02-02,15 24 29 33 41,07 08
2018-02-09,07 08 24 34 46,04 08
2018-02-16,04 08 19 25 44,09 10
2018-02-23,18 26 33 42 46,04 10
2018-03-02,16 18 20 27 46,03 05
2018-03-09,15 23 28 33 36,04 07
2018-03-16,04 27 37 48 49,03 04
2018-03-23,04 14 22 33 42,01 10
2018-03-30,05 15 17 29 32,05 07
2018-04-06,06 08 16 23 50,04 08
2018-04-13,03 10 21 25 34,07 10
2018-04-20,22 24 25 28 46,02 04
2018-04-27,09 21 31 32 33,09 10
2018-05-04,24 26 29 36 49,03 06
2018-05-11,03 14 17 37 39,05 10
2018-05-18,01 11 23 41 44,02 08
2018-05-25,15 31 35 40 46,03 08
2018-06-01,14 19 21 30 32,04 07
2018-06-08,05 13 22 36 39,09 10
2018-06-15,01 05 07 09 21,03 10
2018-06-22,16 24 33 35 43,06 07
2018-06-29,09 18 30 47 48,04 06
2018-07-06,02 07 24 38 45,05 08
2018-07-13,13 14 21 34 46,02 05
2018-07-20,13 33 40 42 43,07 09
2018-07-27,02 22 40 43 50,03 08
2018-08-03,04 08 12 25 31,07 08
2018-08-10,04 15 17 21 23,06 07
2018-08-17,02 12 32 43 44,03 04
2018-08-24,08 25 26 38 48,06 09
2018-08-31,03 06 09 18 24,02 07
2018-09-07,04 07 28 36 43,01 06
2018-09-14,24 33 35 46 49,05 09
2018-09-21,05 08 16 42 46,02 10
2018-09-28,03 08 13 18 40,06 10
2018-10-05,12 15 32 44 49,05 07
2018-10-12,06 26 31 42 50,02 09
2018-10-19,09 12 28 32 48,07 08
2018-10-26,18 19 33 38 44,04 10
2018-11-02,05 17 27 33 42,09 10
2018-11-09,08 32 34 46 49,03 05
2018-11-16,13 15 18 39 45,05 06
2018-11-23,17 22 28 31 46,05 10
2018-11-30,18 22 35 36 41,03 04
2018-12-07,04 16 21 31 42,04 06
2018-12-14,04 14 24 26 30,09 10
2018-12-21,03 16 20 34 49,02 10
2018-12-28,19 24 31 38 40,07 10
2019-01-04,03 10 25 32 43,01 03
2019-01-11,06 12 35 39 49,04 09
2019-01-18,02 09 23 36 47,02 09
2019-01-25,24 25 28 35 48,04 08
2019-02-01,06 29 38 45 47,02 03
2019-02-08,05 08 21 24 26,04 05
2019-02-15,01 24 30 31 47,07 09
2019-02-22,14 16 21 25 26,08 10
2019-03-01,07 16 18 19 24,01 06
2019-03-08,04 29 30 31 45,01 07
2019-03-15,01 02 11 19 47,02 07
2019-03-22,15 20 24 44 49,07 09
2019-03-29,04 09 15 24 42,08 09
2019-04-05,22 31 43 44 50,01 09
2019-04-12,14 16 21 30 37,04 08
2019-04-19,18 21 37 43 47,01 03
2019-04-26,01 06 11 17 38,04 08
2019-05-03,03 09 10 19 42,01 07
2019-05-10,05 07 15 19 29,03 08
2019-05-17,20 27 33 35 46,05 09
2019-05-24,08 26 38 47 50,03 07
2019-05-31,10 12 35 36 43,02 05
2019-06-07,07 08 20 35 38,05 09
2019-06-14,08 23 40 41 42,02 10
2019-06-21,20 27 37 41 45,01 07
2019-06-28,18 25 26 35 38,05 06
2019-07-05,01 15 34 48 50,06 10
2019-07-12,31 36 40 42 45,07 09
2019-07-19,31 32 45 47 49,07 09
2019-07-26,03 08 30 46 48,01 03
2019-08-02,06 11 38 41 44,09 10
2019-08-09,02 04 20 21 49,09 10
2019-08-16,07 20 35 42 44,03 07
2019-08-23,15 18 19 41 42,04 06
2019-08-30,10 18 32 35 46,03 10
2019-09-06,21 24 29 30 50,01 05
2019-09-13,03 21 22 33 47,02 09
2019-09-20,17 21 41 48 49,04 08
2019-09-27,21 24 26 34 47,04 06
2019-10-04,15 19 20 45 49,07 08
2019-10-11,08 12 13 39 44,04 09
2019-10-18,06 09 31 43 44,06 09
2019-10-25,02 30 34 35 45,01 02
2019-11-01,03 17 31 34 40,01 02
2019-11-08,14 20 23 39 49,04 10
2019-11-15,10 19 24 30 39,02 04
2019-11-22,03 12 24 37 38,03 07
2019-11-29,02 03 30 31 45,06 08
2019-12-06,08 14 23 30 45,01 09
2019-12-13,25 31 38 49 50,05 10
2019-12-20,12 20 21 22 35,04 10
2019-12-27,07 12 28 34 45,03 06
2020-01-03,06 27 30 35 41,04 05
2020-01-10,04 14 25 34 49,04 09
2020-01-17,01 23 32 45 49,05 10
2020-01-24,05 12 20 29 48,07 09
2020-01-31,01 07 12 23 39,03 04
2020-02-07,07 16 22 36 44,03 04
2020-02-14,02 06 30 32 49,01 04
2020-02-21,02 13 39 45 47,04 06
2020-02-28,12 22 24 29 38,05 06
2020-03-06,15 19 35 36 41,05 10
2020-03-13,01 17 29 39 42,07 08
2020-03-20,09 14 28 30 37,03 10
2020-03-27,13 19 23 34 41,03 08
2020-04-03,03 21 26 40 41,08 10
2020-04-10,02 07 08 43 50,02 03
2020-04-17,01 18 23 33 41,02 06
2020-04-24,06 13 15 34 35,01 05
2020-05-01,06 11 12 21 41,01 02
2020-05-08,09 11 15 36 43,08 09
2020-05-15,21 27 29 34 49,08 10
2020-05-22,12 15 32 40 45,07 10
2020-05-29,08 22 31 32 36,06 10
2020-06-05,09 16 17 29 39,01 08
2020-06-12,07 16 22 30 48,02 08
2020-06-19,02 22 33 38 47,02 09
2020-06-26,14 16 32 34 47,07 09
2020-07-03,12 34 36 47 48,05 07
2020-07-10,05 06 09 15 29,04 09
2020-07-17,13 21 25 34 35,05 10
2020-07-24,07 11 19 32 43,02 08
2020-07-31,03 19 28 43 49,02 03
2020-08-07,04 09 15 24 28,02 06
2020-08-14,09 20 27 35 48,05 09
2020-08-21,26 27 30 46 49,01 02
2020-08-28,08 11 22 38 41,04 07
2020-09-04,05 23 28 38 49,03 09
2020-09-11,02 05 24 43 45,04 10
2020-09-18,07 12 14 40 42,07 08
2020-09-25,01 07 09 29 46,09 10
2020-10-02,15 19 34 39 49,02 07
2020-10-09,01 11 17 23 29,01 08
2020-10-16,05 11 35 44 50,04 10
2020-10-23,17 21 23 37 45,07 09
2020-10-30,11 19 24 33 39,01 04
2020-11-06,05 12 26 47 50,02 03
2020-11-13,05 17 21 37 38,01 04
2020-11-20,18 20 34 49 50,07 08
2020-11-27,01 02 22 25 30,05 10
2020-12-04,01 27 37 40 41,07 10
2020-12-11,04 13 15 41 49,01 09
2020-12-18,04 17 27 28 50,05 08
2020-12-25,07 10 19 26 42,01 09
2021-01-01,17 36 38 43 46,04 06
2021-01-08,08 22 25 38 50,08 09
2021-01-15,10 19 32 36 46,04 06
2021-01-22,38 40 41 46 48,02 06
2021-01-29,16 30 33 36 43,04 08
2021-02-05,02 03 16 33 46,02 10
2021-02-12,15 18 24 27 44,02 07
2021-02-19,27 35 36 38 41,05 07
2021-02-26,03 13 24 29 32,01 07
2021-03-05,09 23 34 40 42,01 04
2021-03-12,06 11 18 26 34,05 08
2021-03-19,03 11 19 34 37,08 09
2021-03-26,07 38 41 44 50,01 08
2021-04-02,01 03 04 36 43,02 03
2021-04-09,11 18 23 29 32,03 07
2021-04-16,12 19 20 28 31,06 09
2021-04-23,03 06 11 14 49,01 05
2021-04-30,23 27 34 40 43,05 07
2021-05-07,03 07 19 27 29,07 10
2021-05-14,01 15 29 42 50,03 06
2021-05-21,02 12 15 33 39,04 09
2021-05-28,15 26 35 37 43,03 08
2021-06-04,13 17 26 49 50,01 07
2021-06-11,08 20 23 48 50,08 09
2021-06-18,11 14 44 46 49,07 10
2021-06-25,04 17 22 30 47,01 08
2021-07-02,04 05 10 25 31,04 06
2021-07-09,08 14 15 20 31,08 09
2021-07-16,09 14 24 37 39,04 09
2021-07-23,13 33 42 48 50,03 09
2021-07-30,05 14 39 43 44,01 06
2021-08-06,16 19 21 29 36,01 07
2021-08-13,04 31 39 43 46,01 04
2021-08-20,08 31 34 36 45,08 10
2021-08-27,19 20 22 25 42,04 06
2021-09-03,05 09 20 44 48,04 10
2021-09-10,02 14 18 23 42,05 10
2021-09-17,14 17 20 27 32,03 07
2021-09-24,12 22 35 38 49,05 10
2021-10-01,20 33 34 37 39,04 08
2021-10-08,20 28 32 38 46,06 08
2021-10-15,02 06 08 21 25,06 09
2021-10-22,15 33 34 38 43,03 07
2021-10-29,11 23 37 38 44,04 08
2021-11-05,06 13 25 31 49,02 07
2021-11-12,04 30 43 44 46,01 03
2021-11-19,06 12 20 21 34,04 05
2021-11-26,07 17 21 37 39,03 05
2021-12-03,02 05 13 15 23,06 08
2021-12-10,08 09 30 34 48,05 08
2021-12-17,06 08 16 44 50,01 10
2021-12-24,03 17 21 35 42,08 09
2021-12-31,07 16 36 42 43,06 08
